Item,Description,Quantity,Price ($),URL,Running Total
Raspberry Pi Pico W,MCU,1,$6.00,https://www.pishop.us/product/raspberry-pi-pico-w/,$6.00
400x300 4.2inch E-Ink display module, E-ink Display,1, $29.47, https://www.aliexpress.us/item/3256808470615505.html, $35.47
M3 10mm Hex Socket Head Cap Screw,Screws,10,$0.99,https://www.aliexpress.us/item/3256806812715286.html, $36.46
M4 16mm Hex Socket Head Cap Screw,Screws,4,$0.99,https://www.aliexpress.us/item/3256806812715286.html, $37.45
24 AWG Wires, For hand wiring, 1, $3.24,https://www.aliexpress.us/item/3256805264231583.html, $40.69
8x8x5mm Silicone Tactile Push Buttons,Silicone tactile switches,14,$0.99,https://www.aliexpress.us/item/2251832738024090.html,$41.68
6x6x5mm Silicone Tactile Push Buttons,Silicone tactile switches,4,$0.99,https://www.aliexpress.us/item/3256805854782669.html,$42.67
3.7 Lipo Battery, Rechargable battery, 1, $0.99, https://www.aliexpress.us/item/3256811355626242.html,$43.66
Micro Usb Panel Mount, Micro Usb Panel Mount, 1, $1.02, https://www.aliexpress.us/item/2255800010764933.html,$44.68
1kg TPU Filament, Flexible filament, 1, $10.41, https://www.aliexpress.us/item/3256805746388592.html, $55.09

Total Cost (Excluding shipping/tax), $55.09
